X,Y
-10.000000,-694.528292
-9.959920,-821.290217
-9.919840,-634.592918
-9.879760,-607.982028
-9.839679,-889.596521
-9.799599,-817.219300
-9.759519,-666.779309
-9.719439,-703.803068
-9.679359,-666.527650
-9.639279,-742.873725
-9.599198,-562.404213
-9.559118,-565.392182
-9.519038,-629.448164
-9.478958,-516.259272
-9.438878,-575.216725
-9.398798,-700.933085
-9.358717,-571.216662
-9.318637,-697.119429
-9.278557,-506.576902
-9.238477,-592.656428
-9.198397,-599.442926
-9.158317,-642.393253
-9.118236,-445.440334
-9.078156,-576.591955
-9.038076,-597.466504
-8.997996,-583.391774
-8.957916,-488.541987
-8.917836,-498.872582
-8.877756,-487.837213
-8.837675,-479.771069
-8.797595,-302.480121
-8.757515,-551.126919
-8.717435,-555.598856
-8.677355,-579.689460
-8.637275,-430.700092
-8.597194,-373.434704
-8.557114,-491.808435
-8.517034,-558.558758
-8.476954,-551.168124
-8.436874,-397.884894
-8.396794,-382.890012
-8.356713,-397.218150
-8.316633,-512.449394
-8.276553,-417.093643
-8.236473,-423.098859
-8.196393,-407.402364
-8.156313,-336.678057
-8.116232,-396.056823
-8.076152,-345.166005
-8.036072,-400.985784
-7.995992,-373.563235
-7.955912,-334.122796
-7.915832,-537.788412
-7.875752,-418.905737
-7.835671,-428.886047
-7.795591,-440.690921
-7.755511,-399.315710
-7.715431,-217.349504
-7.675351,-448.512505
-7.635271,-260.230732
-7.595190,-520.517940
-7.555110,-380.934891
-7.515030,-326.429342
-7.474950,-279.383318
-7.434870,-262.226245
-7.394790,-249.399788
-7.354709,-359.034691
-7.314629,-365.866904
-7.274549,-229.345355
-7.234469,-329.826078
-7.194389,-433.858270
-7.154309,-415.253448
-7.114228,-389.545949
-7.074148,-243.601351
-7.034068,-274.832074
-6.993988,-215.823660
-6.953908,-323.435139
-6.913828,-260.733522
-6.873747,-209.945814
-6.833667,-299.396421
-6.793587,-218.780517
-6.753507,-326.686074
-6.713427,-292.873276
-6.673347,-290.854871
-6.633267,-368.416824
-6.593186,-196.325781
-6.553106,-288.191633
-6.513026,-236.268365
-6.472946,-185.747301
-6.432866,-185.510660
-6.392786,-160.004505
-6.352705,-232.808037
-6.312625,-261.742834
-6.272545,-223.875185
-6.232465,-381.163823
-6.192385,-353.705105
-6.152305,-337.863565
-6.112224,-301.954107
-6.072144,-158.923705
-6.032064,-286.156426
-5.991984,-230.167663
-5.951904,-59.206769
-5.911824,-221.569296
-5.871743,-109.039558
-5.831663,-273.035822
-5.791583,-197.135279
-5.751503,-268.545535
-5.711423,-204.432587
-5.671343,-83.518366
-5.631263,-337.334879
-5.591182,-118.247694
-5.551102,-135.037091
-5.511022,-215.379418
-5.470942,-297.756963
-5.430862,-143.157774
-5.390782,-200.572141
-5.350701,-121.639799
-5.310621,-140.038969
-5.270541,20.604924
-5.230461,-160.889135
-5.190381,-236.715561
-5.150301,-113.881928
-5.110220,-107.284749
-5.070140,9.128361
-5.030060,-40.816111
-4.989980,-86.207635
-4.949900,26.837569
-4.909820,-235.997286
-4.869739,-178.754481
-4.829659,-205.125163
-4.789579,-149.166492
-4.749499,-245.601577
-4.709419,-42.194632
-4.669339,-125.737884
-4.629259,-248.431059
-4.589178,-200.771888
-4.549098,-65.754687
-4.509018,-11.213857
-4.468938,106.697978
-4.428858,200.434576
-4.388778,-47.515057
-4.348697,-185.941718
-4.308617,-298.251823
-4.268537,-56.362528
-4.228457,-162.541259
-4.188377,-120.923155
-4.148297,-138.763999
-4.108216,-89.826715
-4.068136,32.630865
-4.028056,-56.507864
-3.987976,-86.347605
-3.947896,-172.346542
-3.907816,-234.571959
-3.867735,-114.082210
-3.827655,-69.202495
-3.787575,114.571058
-3.747495,-47.616853
-3.707415,39.182788
-3.667335,-107.491873
-3.627255,-174.551940
